Week,DOM,Treatment,Rep,Comment,Value,Variable,Units
1,HDOM,C,1,after,0.019522644,Community.Respiration,umol O2 L-1 h-1
2,HDOM,C,1,after,0.1778721,Community.Respiration,umol O2 L-1 h-1
3,HDOM,C,1,after,0.03437007,Community.Respiration,umol O2 L-1 h-1
4,HDOM,C,1,after,0.13116423,Community.Respiration,umol O2 L-1 h-1
5,HDOM,C,1,after,0.213305772,Community.Respiration,umol O2 L-1 h-1
6,HDOM,C,1,after,0.28496937,Community.Respiration,umol O2 L-1 h-1
1,LDOM,C,1,after,2.478111258,Community.Respiration,umol O2 L-1 h-1
2,LDOM,C,1,after,0.360475956,Community.Respiration,umol O2 L-1 h-1
3,LDOM,C,1,after,0.104652282,Community.Respiration,umol O2 L-1 h-1
4,LDOM,C,1,after,0.37240446,Community.Respiration,umol O2 L-1 h-1
5,LDOM,C,1,after,0.001,Community.Respiration,umol O2 L-1 h-1
6,LDOM,C,1,after,0.29719128,Community.Respiration,umol O2 L-1 h-1
1,HDOM,D,1,after,0.250455732,Community.Respiration,umol O2 L-1 h-1
2,HDOM,D,1,after,0.159279621,Community.Respiration,umol O2 L-1 h-1
3,HDOM,D,1,after,0.252593553,Community.Respiration,umol O2 L-1 h-1
4,HDOM,D,1,after,0.2444241,Community.Respiration,umol O2 L-1 h-1
5,HDOM,D,1,after,0.193258242,Community.Respiration,umol O2 L-1 h-1
6,HDOM,D,1,after,0.28702371,Community.Respiration,umol O2 L-1 h-1
1,LDOM,D,1,after,0.29401701,Community.Respiration,umol O2 L-1 h-1
2,LDOM,D,1,after,0.001,Community.Respiration,umol O2 L-1 h-1
3,LDOM,D,1,after,0.001,Community.Respiration,umol O2 L-1 h-1
4,LDOM,D,1,after,0.023954022,Community.Respiration,umol O2 L-1 h-1
5,LDOM,D,1,after,0.139049718,Community.Respiration,umol O2 L-1 h-1
6,LDOM,D,1,after,0.39428229,Community.Respiration,umol O2 L-1 h-1
1,HDOM,C,2,after,0.231345306,Community.Respiration,umol O2 L-1 h-1
2,HDOM,C,2,after,0.27609384,Community.Respiration,umol O2 L-1 h-1
3,HDOM,C,2,after,0.037227954,Community.Respiration,umol O2 L-1 h-1
4,HDOM,C,2,after,0.12861234,Community.Respiration,umol O2 L-1 h-1
5,HDOM,C,2,after,0.153564093,Community.Respiration,umol O2 L-1 h-1
6,HDOM,C,2,after,0.29226432,Community.Respiration,umol O2 L-1 h-1
1,LDOM,C,2,after,0.451122516,Community.Respiration,umol O2 L-1 h-1
2,LDOM,C,2,after,0.02043756,Community.Respiration,umol O2 L-1 h-1
3,LDOM,C,2,after,0.056531748,Community.Respiration,umol O2 L-1 h-1
4,LDOM,C,2,after,0.18701226,Community.Respiration,umol O2 L-1 h-1
5,LDOM,C,2,after,0.001,Community.Respiration,umol O2 L-1 h-1
6,LDOM,C,2,after,0.49484181,Community.Respiration,umol O2 L-1 h-1
1,HDOM,D,2,after,0.328407858,Community.Respiration,umol O2 L-1 h-1
2,HDOM,D,2,after,0.001,Community.Respiration,umol O2 L-1 h-1
3,HDOM,D,2,after,0.001,Community.Respiration,umol O2 L-1 h-1
4,HDOM,D,2,after,0.27451704,Community.Respiration,umol O2 L-1 h-1
5,HDOM,D,2,after,0.001,Community.Respiration,umol O2 L-1 h-1
6,HDOM,D,2,after,0.24400953,Community.Respiration,umol O2 L-1 h-1
1,LDOM,D,2,after,0.050508723,Community.Respiration,umol O2 L-1 h-1
2,LDOM,D,2,after,0.240845721,Community.Respiration,umol O2 L-1 h-1
3,LDOM,D,2,after,0.325975284,Community.Respiration,umol O2 L-1 h-1
4,LDOM,D,2,after,0.001,Community.Respiration,umol O2 L-1 h-1
5,LDOM,D,2,after,0.126559785,Community.Respiration,umol O2 L-1 h-1
6,LDOM,D,2,after,0.43350237,Community.Respiration,umol O2 L-1 h-1
1,HDOM,C,3,after,0.293850654,Community.Respiration,umol O2 L-1 h-1
2,HDOM,C,3,after,0.200114988,Community.Respiration,umol O2 L-1 h-1
3,HDOM,C,3,after,0.130079154,Community.Respiration,umol O2 L-1 h-1
4,HDOM,C,3,after,0.13560378,Community.Respiration,umol O2 L-1 h-1
5,HDOM,C,3,after,0.136903221,Community.Respiration,umol O2 L-1 h-1
6,HDOM,C,3,after,0.14116632,Community.Respiration,umol O2 L-1 h-1
1,LDOM,C,3,after,0.118379349,Community.Respiration,umol O2 L-1 h-1
2,LDOM,C,3,after,0.411916323,Community.Respiration,umol O2 L-1 h-1
3,LDOM,C,3,after,0.001,Community.Respiration,umol O2 L-1 h-1
4,LDOM,C,3,after,0.12979428,Community.Respiration,umol O2 L-1 h-1
5,LDOM,C,3,after,0.001,Community.Respiration,umol O2 L-1 h-1
6,LDOM,C,3,after,0.33688572,Community.Respiration,umol O2 L-1 h-1
1,HDOM,D,3,after,0.209256504,Community.Respiration,umol O2 L-1 h-1
2,HDOM,D,3,after,0.401013372,Community.Respiration,umol O2 L-1 h-1
3,HDOM,D,3,after,0.184029573,Community.Respiration,umol O2 L-1 h-1
4,HDOM,D,3,after,0.045979962,Community.Respiration,umol O2 L-1 h-1
5,HDOM,D,3,after,0.001,Community.Respiration,umol O2 L-1 h-1
6,HDOM,D,3,after,0.25326999,Community.Respiration,umol O2 L-1 h-1
1,LDOM,D,3,after,0.285829314,Community.Respiration,umol O2 L-1 h-1
2,LDOM,D,3,after,0.324124608,Community.Respiration,umol O2 L-1 h-1
3,LDOM,D,3,after,0.582932976,Community.Respiration,umol O2 L-1 h-1
4,LDOM,D,3,after,0.20135202,Community.Respiration,umol O2 L-1 h-1
5,LDOM,D,3,after,0.001,Community.Respiration,umol O2 L-1 h-1
6,LDOM,D,3,after,0.4610613,Community.Respiration,umol O2 L-1 h-1
1,HDOM,C,1,before,0.52925331,Community.Respiration,umol O2 L-1 h-1
2,HDOM,C,1,before,0.71475564,Community.Respiration,umol O2 L-1 h-1
3,HDOM,C,1,before,0.175302936,Community.Respiration,umol O2 L-1 h-1
4,HDOM,C,1,before,0.188125899,Community.Respiration,umol O2 L-1 h-1
5,HDOM,C,1,before,0.42701985,Community.Respiration,umol O2 L-1 h-1
6,HDOM,C,1,before,0.336010617,Community.Respiration,umol O2 L-1 h-1
1,LDOM,C,1,before,0.681564882,Community.Respiration,umol O2 L-1 h-1
2,LDOM,C,1,before,0.07708752,Community.Respiration,umol O2 L-1 h-1
3,LDOM,C,1,before,0.345220434,Community.Respiration,umol O2 L-1 h-1
4,LDOM,C,1,before,0.001,Community.Respiration,umol O2 L-1 h-1
5,LDOM,C,1,before,0.04170837,Community.Respiration,umol O2 L-1 h-1
6,LDOM,C,1,before,0.292530318,Community.Respiration,umol O2 L-1 h-1
1,HDOM,D,1,before,0.001,Community.Respiration,umol O2 L-1 h-1
2,HDOM,D,1,before,0.47276307,Community.Respiration,umol O2 L-1 h-1
3,HDOM,D,1,before,0.264375336,Community.Respiration,umol O2 L-1 h-1
4,HDOM,D,1,before,0.806652822,Community.Respiration,umol O2 L-1 h-1
5,HDOM,D,1,before,0.200343234,Community.Respiration,umol O2 L-1 h-1
6,HDOM,D,1,before,0.268832283,Community.Respiration,umol O2 L-1 h-1
1,LDOM,D,1,before,0.8792502,Community.Respiration,umol O2 L-1 h-1
2,LDOM,D,1,before,9.81E-05,Community.Respiration,umol O2 L-1 h-1
3,LDOM,D,1,before,0.001,Community.Respiration,umol O2 L-1 h-1
4,LDOM,D,1,before,0.001,Community.Respiration,umol O2 L-1 h-1
5,LDOM,D,1,before,0.133175958,Community.Respiration,umol O2 L-1 h-1
6,LDOM,D,1,before,0.169036437,Community.Respiration,umol O2 L-1 h-1
1,HDOM,C,2,before,0.39396828,Community.Respiration,umol O2 L-1 h-1
2,HDOM,C,2,before,0.31068198,Community.Respiration,umol O2 L-1 h-1
3,HDOM,C,2,before,0.375010494,Community.Respiration,umol O2 L-1 h-1
4,HDOM,C,2,before,0.202219344,Community.Respiration,umol O2 L-1 h-1
5,HDOM,C,2,before,0.206768064,Community.Respiration,umol O2 L-1 h-1
6,HDOM,C,2,before,0.272489637,Community.Respiration,umol O2 L-1 h-1
1,LDOM,C,2,before,1.8206076,Community.Respiration,umol O2 L-1 h-1
2,LDOM,C,2,before,0.27390453,Community.Respiration,umol O2 L-1 h-1
3,LDOM,C,2,before,0.001,Community.Respiration,umol O2 L-1 h-1
4,LDOM,C,2,before,0.152537622,Community.Respiration,umol O2 L-1 h-1
5,LDOM,C,2,before,0.031607808,Community.Respiration,umol O2 L-1 h-1
6,LDOM,C,2,before,0.152032953,Community.Respiration,umol O2 L-1 h-1
1,HDOM,D,2,before,0.001,Community.Respiration,umol O2 L-1 h-1
2,HDOM,D,2,before,0.32272944,Community.Respiration,umol O2 L-1 h-1
3,HDOM,D,2,before,0.472009806,Community.Respiration,umol O2 L-1 h-1
4,HDOM,D,2,before,0.151522944,Community.Respiration,umol O2 L-1 h-1
5,HDOM,D,2,before,0.21008268,Community.Respiration,umol O2 L-1 h-1
6,HDOM,D,2,before,0.227470626,Community.Respiration,umol O2 L-1 h-1
1,LDOM,D,2,before,0.7723257,Community.Respiration,umol O2 L-1 h-1
2,LDOM,D,2,before,0.58537197,Community.Respiration,umol O2 L-1 h-1
3,LDOM,D,2,before,0.123175482,Community.Respiration,umol O2 L-1 h-1
4,LDOM,D,2,before,0.094251951,Community.Respiration,umol O2 L-1 h-1
5,LDOM,D,2,before,0.001,Community.Respiration,umol O2 L-1 h-1
6,LDOM,D,2,before,0.085761012,Community.Respiration,umol O2 L-1 h-1
1,HDOM,C,3,before,0.36483252,Community.Respiration,umol O2 L-1 h-1
2,HDOM,C,3,before,0.32846508,Community.Respiration,umol O2 L-1 h-1
3,HDOM,C,3,before,0.262087317,Community.Respiration,umol O2 L-1 h-1
4,HDOM,C,3,before,0.116531103,Community.Respiration,umol O2 L-1 h-1
